plot_id_needle,lat,long,year,month,ppt
FS_D5,39.34390447,-119.9219521,1895,,1467.02905273438
FS_D5,39.34390447,-119.9219521,1895,01,512.260986328125
FS_D5,39.34390447,-119.9219521,1895,02,118.485000610352
FS_D5,39.34390447,-119.9219521,1895,03,171.936004638672
FS_D5,39.34390447,-119.9219521,1895,04,98.931999206543
FS_D5,39.34390447,-119.9219521,1895,05,98.8690032958984
FS_D5,39.34390447,-119.9219521,1895,06,7.33599996566772
FS_D5,39.34390447,-119.9219521,1895,07,11.6540002822876
FS_D5,39.34390447,-119.9219521,1895,08,3.46700000762939
FS_D5,39.34390447,-119.9219521,1895,09,153.92399597168
FS_D5,39.34390447,-119.9219521,1895,10,5.81300020217896
FS_D5,39.34390447,-119.9219521,1895,11,74.2089996337891
FS_D5,39.34390447,-119.9219521,1895,12,210.143997192383
FS_D5,39.34390447,-119.9219521,1896,,2093.58618164062
FS_D5,39.34390447,-119.9219521,1896,01,595.64599609375
FS_D5,39.34390447,-119.9219521,1896,02,58.0219993591309
FS_D5,39.34390447,-119.9219521,1896,03,265.531005859375
FS_D5,39.34390447,-119.9219521,1896,04,295.455993652344
FS_D5,39.34390447,-119.9219521,1896,05,132.583999633789
FS_D5,39.34390447,-119.9219521,1896,06,0.0329999998211861
FS_D5,39.34390447,-119.9219521,1896,07,20.7730007171631
FS_D5,39.34390447,-119.9219521,1896,08,20.9069995880127
FS_D5,39.34390447,-119.9219521,1896,09,49.9879989624023
FS_D5,39.34390447,-119.9219521,1896,10,33.4539985656738
FS_D5,39.34390447,-119.9219521,1896,11,378.714996337891
FS_D5,39.34390447,-119.9219521,1896,12,242.477996826172
FS_D5,39.34390447,-119.9219521,1897,,1296.86901855469
FS_D5,39.34390447,-119.9219521,1897,01,129.490997314453
FS_D5,39.34390447,-119.9219521,1897,02,375.970001220703
FS_D5,39.34390447,-119.9219521,1897,03,234.746002197266
FS_D5,39.34390447,-119.9219521,1897,04,47.6380004882812
FS_D5,39.34390447,-119.9219521,1897,05,14.1459999084473
FS_D5,39.34390447,-119.9219521,1897,06,38.2669982910156
FS_D5,39.34390447,-119.9219521,1897,07,2.09899997711182
FS_D5,39.34390447,-119.9219521,1897,08,17.1749992370605
FS_D5,39.34390447,-119.9219521,1897,09,18.3379993438721
FS_D5,39.34390447,-119.9219521,1897,10,73.5220031738281
FS_D5,39.34390447,-119.9219521,1897,11,161.100006103516
FS_D5,39.34390447,-119.9219521,1897,12,184.376998901367
FS_D5,39.34390447,-119.9219521,1898,,844.274047851562
FS_D5,39.34390447,-119.9219521,1898,01,57.4939994812012
FS_D5,39.34390447,-119.9219521,1898,02,259.316009521484
FS_D5,39.34390447,-119.9219521,1898,03,65.7129974365234
FS_D5,39.34390447,-119.9219521,1898,04,23.1560001373291
FS_D5,39.34390447,-119.9219521,1898,05,76.1449966430664
FS_D5,39.34390447,-119.9219521,1898,06,37.7050018310547
FS_D5,39.34390447,-119.9219521,1898,07,2.35500001907349
FS_D5,39.34390447,-119.9219521,1898,08,6.01200008392334
FS_D5,39.34390447,-119.9219521,1898,09,11.7810001373291
FS_D5,39.34390447,-119.9219521,1898,10,35.8440017700195
FS_D5,39.34390447,-119.9219521,1898,11,180.934997558594
FS_D5,39.34390447,-119.9219521,1898,12,87.818000793457
FS_D5,39.34390447,-119.9219521,1899,,1920.51806640625
FS_D5,39.34390447,-119.9219521,1899,01,305.552001953125
FS_D5,39.34390447,-119.9219521,1899,02,105.776000976562
FS_D5,39.34390447,-119.9219521,1899,03,441.136993408203
FS_D5,39.34390447,-119.9219521,1899,04,43.7680015563965
FS_D5,39.34390447,-119.9219521,1899,05,72.1320037841797
FS_D5,39.34390447,-119.9219521,1899,06,10.5310001373291
FS_D5,39.34390447,-119.9219521,1899,07,1.49399995803833
FS_D5,39.34390447,-119.9219521,1899,08,70.5210037231445
FS_D5,39.34390447,-119.9219521,1899,09,18.2859992980957
