plot_id_needle,lat,long,year,month,tmin
FS_D5,39.34390447,-119.9219521,1895,,-2.88000011444092
FS_D5,39.34390447,-119.9219521,1895,01,-10.4429998397827
FS_D5,39.34390447,-119.9219521,1895,02,-8.36600017547607
FS_D5,39.34390447,-119.9219521,1895,03,-8.85200023651123
FS_D5,39.34390447,-119.9219521,1895,04,-5.39799976348877
FS_D5,39.34390447,-119.9219521,1895,05,-1.72800004482269
FS_D5,39.34390447,-119.9219521,1895,06,2.28999996185303
FS_D5,39.34390447,-119.9219521,1895,07,5.10300016403198
FS_D5,39.34390447,-119.9219521,1895,08,6.06300020217896
FS_D5,39.34390447,-119.9219521,1895,09,2.21600008010864
FS_D5,39.34390447,-119.9219521,1895,10,-0.096000000834465
FS_D5,39.34390447,-119.9219521,1895,11,-6.63199996948242
FS_D5,39.34390447,-119.9219521,1895,12,-8.7180004119873
FS_D5,39.34390447,-119.9219521,1896,,-2.05200004577637
FS_D5,39.34390447,-119.9219521,1896,01,-4.67199993133545
FS_D5,39.34390447,-119.9219521,1896,02,-7.36899995803833
FS_D5,39.34390447,-119.9219521,1896,03,-6.82499980926514
FS_D5,39.34390447,-119.9219521,1896,04,-8.98600006103516
FS_D5,39.34390447,-119.9219521,1896,05,-4.30900001525879
FS_D5,39.34390447,-119.9219521,1896,06,2.85400009155273
FS_D5,39.34390447,-119.9219521,1896,07,7.02299976348877
FS_D5,39.34390447,-119.9219521,1896,08,5.87400007247925
FS_D5,39.34390447,-119.9219521,1896,09,2.03999996185303
FS_D5,39.34390447,-119.9219521,1896,10,-0.335999995470047
FS_D5,39.34390447,-119.9219521,1896,11,-4.51399993896484
FS_D5,39.34390447,-119.9219521,1896,12,-5.40700006484985
FS_D5,39.34390447,-119.9219521,1897,,-2.1800000667572
FS_D5,39.34390447,-119.9219521,1897,01,-9.30500030517578
FS_D5,39.34390447,-119.9219521,1897,02,-9.60799980163574
FS_D5,39.34390447,-119.9219521,1897,03,-11.1319999694824
FS_D5,39.34390447,-119.9219521,1897,04,-5.09800004959106
FS_D5,39.34390447,-119.9219521,1897,05,0.150999993085861
FS_D5,39.34390447,-119.9219521,1897,06,2.37199997901917
FS_D5,39.34390447,-119.9219521,1897,07,6.16900014877319
FS_D5,39.34390447,-119.9219521,1897,08,9.64999961853027
FS_D5,39.34390447,-119.9219521,1897,09,3.80200004577637
FS_D5,39.34390447,-119.9219521,1897,10,-0.177000001072884
FS_D5,39.34390447,-119.9219521,1897,11,-3.42199993133545
FS_D5,39.34390447,-119.9219521,1897,12,-9.56400012969971
FS_D5,39.34390447,-119.9219521,1898,,-2.55000019073486
FS_D5,39.34390447,-119.9219521,1898,01,-11.4010000228882
FS_D5,39.34390447,-119.9219521,1898,02,-6.60099983215332
